title,author,isbn,call_number,call_prefix,subjects,summary,series,reading_level
Alice through the looking-glass,"Carroll, Lewis 1832-1898",0763628921,F Car,FIC,Alice (Fictitious character : Carroll) -- Fiction,"In this sequel to ""Alice in Wonderland"" Alice goes through the mirror to find a strange world where curious adventures await her.",,4.4
Bloodline,"Cary, Kate",1595140123,F Car,FIC,"Vampires -- Fiction. | World War, 1914-1918 -- Fiction. | War stories | Diaries -- Fiction. | Horror fiction",Nineteen-year-old John Shaw returns from World War One and is haunted by nightmares of not only the battles but the horrifying discovery that his regimental commander is descended from Count Dracula.,,Young Adult
Boy girl boy,"Koertge, Ronald",0152053255,F,FIC,Friendship -- Fiction. | Self-perception -- Fiction. | Homosexuality -- Fiction.,"Three troubled high school seniors, who plan to run away together from Illinois to California after graduation, try to figure out who they are and who they want to be.",,680
Dragonsblood,"McCaffrey, Todd 1956-",0345441249,F McC,FIC,Pern (Imaginary place) -- Fiction | Life on other planets -- Fiction. | Dragons -- Fiction.,"Lorana, a young dragonrider with a gift for healing and telepathy, rushes to find a cure when a mysterious fatal illness infects the dragons just when a deadly cycle of Threadfall is due, and realizes the answer lies with Wind Blossom, a geneticist whose mother created the dragons hundreds of years earlier.",,Young Adult
Elsewhere,"Zevin, Gabrielle",0374320918,F Zev,FIC,Future life -- Fiction. | Death -- Fiction.,"After fifteen-year-old Liz Hall is hit by a taxi and killed, she finds herself in a place that is both like and unlike Earth, where she must adjust to her new status and figure out how to ""live.""",,720
The fashion disaster that changed my life,"Myracle, Lauren 1969-",0525472223,F Myr,FIC,School attendance -- Fiction. | School stories | Friendship -- Fiction. | Family life -- Fiction.,"Seventh-grader Alli describes in her journal the ups and downs of being in junior high, where she fits in, and what it means to be a real friend.",,5.2
In the paint,"Rud, Jeff 1960-",1551433370,F Rud,FIC,Basketball -- Fiction | School sports -- Fiction.,Twelve-year-old Matt Hill struggles to make the basketball team in his new school while keeping out of trouble.,South side sports,940
Something girl,"Goobie, Beth 1959-",1551433478,F Goo,FIC,Fear -- Fiction. | Child abuse -- Fiction. | Father-child relationship -- Fiction.,"Sophie lives in constant fear of her father, who beats her on a regular basis, until the day the beating is so severe it sends her to the hospital.",Orca soundings,3.3
Undine,"Russon, Penni",0060793902,F Rus,FIC,Magic -- Fiction. | Father-daughter relationship -- Fiction. | Sea stories | Conduct of life -- Fiction | Interpersonal relations -- Fiction.,"Sixteen-year-old Undine, hearing her presumably deceased father calling to her and feeling a strange force growing inside her, travels to the sea to discover the depths of her magical powers.",,Young Adult
Heat,"Lupica, Mike",0399243011,F Lup,FIC,Brothers -- Fiction. | Orphans -- Fiction. | Illegal aliens -- Fiction. | Latin Americans -- Fiction | Little League baseball -- Fiction. | Baseball -- Fiction | Social work -- Fiction.,Pitching prodigy Michael Arroyo is on the run from social services after being banned from playing Little League baseball because rival coaches doubt he is only twelve years old and he has no parents to offer them proof.,,6.9
Pride and prejudice,"Austen, Jane 1775-1817",0553210181,F Aus,FIC,Family -- Fiction -- England | Family -- Fiction. | Courtship -- Fiction. -- England | Young women -- Fiction. -- England,"In early nineteenth-century England, a spirited young woman copes with the courtship of a snobbish gentleman as well as the romantic entanglements of her four sisters.",Everyman's library,Young Adult
In the hand of the goddess,"Pierce, Tamora",0689878567,F Pie,FIC,Alanna (Fictional character : Pierce) -- Fiction. | Knights and knighthood -- Fiction. | Gender role -- Fiction. | Fantasy fiction,"Pursuing her desire to be a knight, Alanna learns many things in her role as squire to Prince Jonathan, but fears Duke Roger, an ambitious sorcerer with whom she knows she will one day have to deal.",Song of the lioness,750
The woman who rides like a man,"Pierce, Tamora",0689878583 (Pulse),F Pie,FIC,Knights and knighthood -- Fiction. | Gender role -- Fiction. | Fantasy fiction | Middle Ages -- Fiction. | Alanna (Fictional character : Pierce) -- Fiction.,"On her first tour as a knight errant, Alanna assumes a position of influence with a fierce desert tribe, makes some changes in the role of women in the society, and continues her own emotional development.",Song of the lioness series,790
The homework machine,"Gutman, Dan",0689876785,F Gut,FIC,Homework -- Fiction. | Cheating (Education) -- Fiction. | School stories | Interpersonal relations -- Fiction.,"Four fifth-grade students -- a geek, a class clown, a teacher's pet, and a slacker -- as well as their teacher and mothers, each relate events surrounding a computer programmed to complete homework assignments.",,4.8
Estrella's quinceañera,"Alegría, Malín",0689878095,F Ale,FIC,Manners and customs -- Fiction. | Mexican Americans -- Fiction. | Mexican Americans -- Fiction. -- Social life and customs | Parties -- Fiction. | Mother-daughter relationship -- Fiction. | Friendship -- Fiction.,"Estrella's mother and aunt are planning a gaudy, traditional quinceañera for her, even though it is the last thing she wants.",,690
"Regarding the sink  where, oh where, did Waters go?","Klise, Kate",0152055444,F Kli,FIC,Missing children -- Fiction. | School stories | Letters -- Fiction.,"A series of letters reveals the selection of the famous fountain designer, Florence Waters, to design a new sink for the Geyser Creek Middle School cafeteria, her subsequent disappearance, and the efforts of a class of sixth-graders to find her.",Regarding the--,950
Blue noon,"Westerfeld, Scott",0060519584 (lib. bdg.),F Wes,FIC,Space and time -- Fiction. | Science fiction | Horror fiction,"The five Midnighters from Bixby discover that the secret hour is starting to invade the daylight world, and if they cannot stop it, the darklings will soon be free to hunt again.",Midnighters,Young Adult
The book thief,"Zusak, Markus",0375931007,F Zus,FIC,"Books and reading -- Fiction. | Storytelling -- Fiction. | Death -- Fiction. | Jews -- Fiction. -- History -- Germany | World War, 1939-1945 -- Fiction. -- Jews -- Rescue | Historical fiction","Trying to make sense of the horrors of World War II, Death relates the story of Liesel -- a young German girl whose book-stealing and story-telling talents help sustain her family and the Jewish man they are hiding, as well as their neighbors.",,Young Adult
La línea,"Jaramillo, Ann",1596431547,F Jar,FIC,"Siblings -- Fiction. | Immigration and emigration -- Fiction. | Survival after airplane accidents, shipwrecks, etc. -- Fiction. | Mexicans -- Fiction.","When fifteen-year-old Miguel's time finally comes to leave his poor Mexican village, cross the border illegally, and join his parents in California, his younger sister's determination to join him soon imperils them both.",,Young Adult
Touching darkness,"Westerfeld, Scott",0060519568,F Wes,FIC,Horror fiction,"Jessica Day, and her four friends, the ""midnighters"", are the only ones in Bixby, Oklahoma that know the world freezes at midnight, and as they battle evil creatures living in the hour hidden they learn about Bixby's shadowy past and uncover a deadly conspiracy that reaches beyond the secret hour.",Midnighters,800
The case of the missing marquess  an Enola Holmes mystery,"Springer, Nancy",0399243046,F Spr,FIC,Mothers -- Fiction. | Missing children -- Fiction. | Mystery fiction | Historical fiction,"Enola Holmes, much younger sister of detective Sherlock Holmes, must travel to London in disguise to unravel the disappearance of her missing mother.",,6.6
"My last skirt  the story of Jennie Hodgers, Union soldier","Durrant, Lynda 1956-",0618574905,F Dur,FIC,Gender role -- Fiction. | Soldiers -- Fiction. | Irish Americans -- Fiction | Historical fiction,"Enjoying the freedom afforded her while dressing as a boy in order to earn higher pay after emigrating from Ireland, Jennie Hodgers serves in the 95th Illinois Infantry as Private Albert Cashier, a Union soldier in the American Civil War.",,5.3
Miracles on Maple Hill,"Sorensen, Virginia 1912-1991",0152047182,F Sor,FIC,Moving -- Fiction | Family -- Fiction. | Country life -- Fiction. -- Pennsylvania | Country life -- Fiction.,"After her father returns from the war moody and tired, Marly's family decides to move from the city to Maple Hill Farm in the Pennsylvania countryside where they share many adventures which help restore their spirits and their bond with each other.",,750
"It's like this, Cat","Neville, Emily Cheney",0064400735 (HT),F Nev,FIC,Family life -- Fiction. | Humorous fiction,"A quietly humorous story of one kind of contemporary New York City boyhood, a fourteen-year-old and his family, his friends, and a stray tomcat.",,810
My friend Flicka,"O'Hara, Mary",0060512628,F O'Ha,FIC,Animals -- Fiction | Father-son relationship -- Fiction. | Ranch life -- Fiction. | Horses -- Fiction. | Boys -- Fiction. | Domestic fiction | Bildungsromans | Father-son relationship -- Fiction. | Ranch life -- Fiction. -- Wyoming,An aimless Wyoming teenager at odds with his practical father finds purpose when he befriends a wild filly.,,6.8
Ironman,"Crutcher, Chris",068813503X,F Cru,FIC,Interpersonal relations -- Fiction. | Father-son relationship -- Fiction. | Father-son relationship -- Fiction. | Triathlon -- Fiction.,"While training for a triathlon, seventeen-year-old Bo attends an anger management group at school which leads him to examine his relationship with his father.",,6.8
Peter & the shadow thieves,"Barry, Dave",9780786837878,F Bar,FIC,Adventure fiction | Humorous fiction | Shades and shadows -- Fiction. | Characters and characteristics in literature -- Fiction.,"Peter must visit London to help his friend Molly and her family of starcatchers locate the missing starstuff, leaving the boys on Mollusk Island at the mercy of Hook.",,780
Crispin  at the edge of the world,Avi 1937-,078685152X,F Avi,FIC,Middle Ages -- Fiction. | Voyages and travels -- Fiction. | Family life -- Fiction. | Historical fiction,"Branded as traitors by the king's authorities, Crispin and his guardian, Bear, flee to coastal towns in fourteenth-century England, where they perform a musical juggling act and bond as a family after befriending a disfigured girl.",,5.4
