title,author,isbn,call_number,call_prefix,subjects,summary,series,reading_level,ol_summary,ol_subjects,ol_pages,gb_summary,gb_categories,gb_pages,gb_rating,enriched_summary,enriched_subjects,pages
Alice through the looking-glass,"Carroll, Lewis 1832-1898",0763628921,F Car,FIC,Alice (Fictitious character : Carroll) -- Fiction,"In this sequel to ""Alice in Wonderland"" Alice goes through the mirror to find a strange world where curious adventures await her.",,4.4,,"Fantasy|Fiction|English Nonsense verses|Children's poetry, English|Nonsense verses|English poetry|Alice (Fictitious character : Carroll)|Toy and movable books|English Fantasy poetry|Children's stories|Juvenile literature|Specimens|Juvenile fiction|Translations into Italian|Artists' books|Shaw alphabet|Children's stories, English|Children's fiction|Fantasy fiction|Alice (fictitious character : carroll), fiction",224,,,,,"In this sequel to ""Alice in Wonderland"" Alice goes through the mirror to find a strange world where curious adventures await her.","Alice (Fictitious character : Carroll) -- Fiction|Fantasy|Fiction|English Nonsense verses|Children's poetry, English|Nonsense verses|English poetry|Alice (Fictitious character : Carroll)|Toy and movable books|English Fantasy poetry|Children's stories|Juvenile literature|Specimens|Juvenile fiction|Translations into Italian|Artists' books|Shaw alphabet|Children's stories, English|Children's fiction|Fantasy fiction|Alice (fictitious character : carroll), fiction",224.0
Bloodline,"Cary, Kate",1595140123,F Car,FIC,"Vampires -- Fiction. | World War, 1914-1918 -- Fiction. | War stories | Diaries -- Fiction. | Horror fiction",Nineteen-year-old John Shaw returns from World War One and is haunted by nightmares of not only the battles but the horrifying discovery that his regimental commander is descended from Count Dracula.,,Young Adult,,"World War, 1914-1918|Vampires|Diaries|Fiction|Horror stories|Children's fiction|Vampires, fiction|World war, 1914-1918, fiction|Diaries, fiction|Ghosts, fiction|Horror tales",324,,,,,Nineteen-year-old John Shaw returns from World War One and is haunted by nightmares of not only the battles but the horrifying discovery that his regimental commander is descended from Count Dracula.,"Vampires -- Fiction. | World War, 1914-1918 -- Fiction. | War stories | Diaries -- Fiction. | Horror fiction|World War, 1914-1918|Vampires|Diaries|Fiction|Horror stories|Children's fiction|Vampires, fiction|World war, 1914-1918, fiction|Diaries, fiction|Ghosts, fiction|Horror tales",324.0
Boy girl boy,"Koertge, Ronald",0152053255,F,FIC,Friendship -- Fiction. | Self-perception -- Fiction. | Homosexuality -- Fiction.,"Three troubled high school seniors, who plan to run away together from Illinois to California after graduation, try to figure out who they are and who they want to be.",,680,,"Fiction|Self-perception|Homosexuality|Friendship|Juvenile fiction|Children's fiction|Friendship, fiction|Self-perception, fiction|Homosexuality, fiction",164,,,,,"Three troubled high school seniors, who plan to run away together from Illinois to California after graduation, try to figure out who they are and who they want to be.","Friendship -- Fiction. | Self-perception -- Fiction. | Homosexuality -- Fiction.|Fiction|Self-perception|Homosexuality|Friendship|Juvenile fiction|Children's fiction|Friendship, fiction|Self-perception, fiction|Homosexuality, fiction",164.0
Dragonsblood,"McCaffrey, Todd 1956-",0345441249,F McC,FIC,Pern (Imaginary place) -- Fiction | Life on other planets -- Fiction. | Dragons -- Fiction.,"Lorana, a young dragonrider with a gift for healing and telepathy, rushes to find a cure when a mysterious fatal illness infects the dragons just when a deadly cycle of Threadfall is due, and realizes the answer lies with Wind Blossom, a geneticist whose mother created the dragons hundreds of years earlier.",,Young Adult,,"Fiction|Pern (Imaginary place)|Dragons|Life on other planets|Science Fiction|Fantasy fiction|Pern (imaginary place), fiction|Fiction, science fiction, general",438,,,,,"Lorana, a young dragonrider with a gift for healing and telepathy, rushes to find a cure when a mysterious fatal illness infects the dragons just when a deadly cycle of Threadfall is due, and realizes the answer lies with Wind Blossom, a geneticist whose mother created the dragons hundreds of years earlier.","Pern (Imaginary place) -- Fiction | Life on other planets -- Fiction. | Dragons -- Fiction.|Fiction|Pern (Imaginary place)|Dragons|Life on other planets|Science Fiction|Fantasy fiction|Pern (imaginary place), fiction|Fiction, science fiction, general",438.0
Elsewhere,"Zevin, Gabrielle",0374320918,F Zev,FIC,Future life -- Fiction. | Death -- Fiction.,"After fifteen-year-old Liz Hall is hit by a taxi and killed, she finds herself in a place that is both like and unlike Earth, where she must adjust to her new status and figure out how to ""live.""",,720,,"Death|Juvenile fiction|Fiction|Young adult fiction|Future life|Psychological fiction|Death, fiction|Children's fiction|Future life, fiction|Large type books|Fantasy fiction",275,,,,,"After fifteen-year-old Liz Hall is hit by a taxi and killed, she finds herself in a place that is both like and unlike Earth, where she must adjust to her new status and figure out how to ""live.""","Future life -- Fiction. | Death -- Fiction.|Death|Juvenile fiction|Fiction|Young adult fiction|Future life|Psychological fiction|Death, fiction|Children's fiction|Future life, fiction|Large type books|Fantasy fiction",275.0
The fashion disaster that changed my life,"Myracle, Lauren 1969-",0525472223,F Myr,FIC,School attendance -- Fiction. | School stories | Friendship -- Fiction. | Family life -- Fiction.,"Seventh-grader Alli describes in her journal the ups and downs of being in junior high, where she fits in, and what it means to be a real friend.",,5.2,,"Fiction|Friendship in fiction|First day of school in fiction|Family life|Schools in fiction|Family life in fiction|First day of school|Schools|Friendship|Families|Juvenile fiction|Children's fiction|First day of school, fiction|Schools, fiction|Friendship, fiction|Family life, fiction",135,,,,,"Seventh-grader Alli describes in her journal the ups and downs of being in junior high, where she fits in, and what it means to be a real friend.","School attendance -- Fiction. | School stories | Friendship -- Fiction. | Family life -- Fiction.|Fiction|Friendship in fiction|First day of school in fiction|Family life|Schools in fiction|Family life in fiction|First day of school|Schools|Friendship|Families|Juvenile fiction|Children's fiction|First day of school, fiction|Schools, fiction|Friendship, fiction|Family life, fiction",135.0
In the paint,"Rud, Jeff 1960-",1551433370,F Rud,FIC,Basketball -- Fiction | School sports -- Fiction.,Twelve-year-old Matt Hill struggles to make the basketball team in his new school while keeping out of trouble.,South side sports,940,,"Basketball stories|Honesty|Juvenile fiction|Maturation (Psychology)|Bullying|Basket-ball|Récits|Honnêteté|Romans, nouvelles, etc. pour la jeunesse|Maturation (Psychologie)|Intimidation|Fiction|Basketball, fiction|Children's fiction",163,,,,,Twelve-year-old Matt Hill struggles to make the basketball team in his new school while keeping out of trouble.,"Basketball -- Fiction | School sports -- Fiction.|Basketball stories|Honesty|Juvenile fiction|Maturation (Psychology)|Bullying|Basket-ball|Récits|Honnêteté|Romans, nouvelles, etc. pour la jeunesse|Maturation (Psychologie)|Intimidation|Fiction|Basketball, fiction|Children's fiction",163.0
Something girl,"Goobie, Beth 1959-",1551433478,F Goo,FIC,Fear -- Fiction. | Child abuse -- Fiction. | Father-child relationship -- Fiction.,"Sophie lives in constant fear of her father, who beats her on a regular basis, until the day the beating is so severe it sends her to the hospital.",Orca soundings,3.3,,"Abused teenagers|Juvenile fiction|Self-esteem|Abusive parents|Children's fiction|Girls, fiction|Self-esteem, fiction",105,,,,,"Sophie lives in constant fear of her father, who beats her on a regular basis, until the day the beating is so severe it sends her to the hospital.","Fear -- Fiction. | Child abuse -- Fiction. | Father-child relationship -- Fiction.|Abused teenagers|Juvenile fiction|Self-esteem|Abusive parents|Children's fiction|Girls, fiction|Self-esteem, fiction",105.0
Undine,"Russon, Penni",0060793902,F Rus,FIC,Magic -- Fiction. | Father-daughter relationship -- Fiction. | Sea stories | Conduct of life -- Fiction | Interpersonal relations -- Fiction.,"Sixteen-year-old Undine, hearing her presumably deceased father calling to her and feeling a strange force growing inside her, travels to the sea to discover the depths of her magical powers.",,Young Adult,,"Magic|Juvenile Fiction|Fiction|Fathers and daughters|Interpersonal relations|Sea stories|Conduct of life|Ocean|Australia, fiction|Interpersonal relations, fiction|Magic, fiction|Ocean, fiction|Children's fiction|Conduct of life, fiction|Fathers and daughters, fiction",,,,,,"Sixteen-year-old Undine, hearing her presumably deceased father calling to her and feeling a strange force growing inside her, travels to the sea to discover the depths of her magical powers.","Magic -- Fiction. | Father-daughter relationship -- Fiction. | Sea stories | Conduct of life -- Fiction | Interpersonal relations -- Fiction.|Magic|Juvenile Fiction|Fiction|Fathers and daughters|Interpersonal relations|Sea stories|Conduct of life|Ocean|Australia, fiction|Interpersonal relations, fiction|Magic, fiction|Ocean, fiction|Children's fiction|Conduct of life, fiction|Fathers and daughters, fiction",
Heat,"Lupica, Mike",0399243011,F Lup,FIC,Brothers -- Fiction. | Orphans -- Fiction. | Illegal aliens -- Fiction. | Latin Americans -- Fiction | Little League baseball -- Fiction. | Baseball -- Fiction | Social work -- Fiction.,Pitching prodigy Michael Arroyo is on the run from social services after being banned from playing Little League baseball because rival coaches doubt he is only twelve years old and he has no parents to offer them proof.,,6.9,,"Cubans|Brothers|Fiction|Illegal aliens|Juvenile fiction|Little League baseball|Baseball|Social service|Orphans|Baseball stories|Reading Level-Grade 11|Reading Level-Grade 12|Brothers and sisters, fiction|Orphans, fiction|Illegal aliens, fiction|Little league baseball, fiction|Social service, fiction|Children's fiction|Baseball, fiction|Siblings, fiction",220,,,,,Pitching prodigy Michael Arroyo is on the run from social services after being banned from playing Little League baseball because rival coaches doubt he is only twelve years old and he has no parents to offer them proof.,"Brothers -- Fiction. | Orphans -- Fiction. | Illegal aliens -- Fiction. | Latin Americans -- Fiction | Little League baseball -- Fiction. | Baseball -- Fiction | Social work -- Fiction.|Cubans|Brothers|Fiction|Illegal aliens|Juvenile fiction|Little League baseball|Baseball|Social service|Orphans|Baseball stories|Reading Level-Grade 11|Reading Level-Grade 12|Brothers and sisters, fiction|Orphans, fiction|Illegal aliens, fiction|Little league baseball, fiction|Social service, fiction|Children's fiction|Baseball, fiction|Siblings, fiction",220
